findingId,severity,rule,seed,company,quarter,classification,confidence,observation
A06:sai-train-standard-001:BAL:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-001,BAL,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3146t。実生産 10536t は計画 13758t の76.6%。"
A06:sai-train-standard-001:MASS:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-001,MASS,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 8409t。実生産 12139t は計画 20609t の58.9%。"
A06:sai-train-standard-001:MASS:T10,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-001,MASS,10,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3272t。実生産 1389t は計画 4672t の29.7%。"
A06:sai-train-standard-001:MASS:T11,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-001,MASS,11,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 1384t。実生産 678t は計画 2068t の32.8%。"
A06:sai-train-standard-001:MASS:T12,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-001,MASS,12,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 709t。実生産 695t は計画 1410t の49.3%。"
A06:sai-train-standard-001:MASS:T13,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-001,MASS,13,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 496t。実生産 308t は計画 806t の38.2%。"
A06:sai-train-standard-001:MASS:T14,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-001,MASS,14,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 179t。実生産 210t は計画 391t の53.7%。"
A06:sai-train-standard-001:MASS:T7,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-001,MASS,7,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 5889t。実生産 1527t は計画 7428t の20.6%。"
A06:sai-train-standard-001:MASS:T8,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-001,MASS,8,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 4542t。実生産 2718t は計画 7283t の37.3%。"
A06:sai-train-standard-001:MASS:T9,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-001,MASS,9,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 1944t。実生産 2596t は計画 4561t の56.9%。"
A06:sai-train-standard-002:BAL:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-002,BAL,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3146t。実生産 10536t は計画 13758t の76.6%。"
A06:sai-train-standard-002:MASS:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-002,MASS,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 8409t。実生産 12139t は計画 20609t の58.9%。"
A06:sai-train-standard-002:MASS:T10,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-002,MASS,10,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3462t。実生産 1615t は計画 5090t の31.7%。"
A06:sai-train-standard-002:MASS:T11,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-002,MASS,11,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 1734t。実生産 703t は計画 2443t の28.8%。"
A06:sai-train-standard-002:MASS:T12,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-002,MASS,12,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 652t。実生産 757t は計画 1416t の53.5%。"
A06:sai-train-standard-002:MASS:T13,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-002,MASS,13,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 575t。実生産 363t は計画 941t の38.6%。"
A06:sai-train-standard-002:MASS:T14,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-002,MASS,14,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 143t。実生産 211t は計画 355t の59.2%。"
A06:sai-train-standard-002:MASS:T7,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-002,MASS,7,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 5919t。実生産 1488t は計画 7419t の20.1%。"
A06:sai-train-standard-002:MASS:T8,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-002,MASS,8,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 4567t。実生産 2648t は計画 7238t の36.6%。"
A06:sai-train-standard-002:MASS:T9,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-002,MASS,9,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 1989t。実生産 2713t は計画 4724t の57.4%。"
A06:sai-train-standard-003:BAL:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-003,BAL,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3146t。実生産 10536t は計画 13758t の76.6%。"
A06:sai-train-standard-003:MASS:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-003,MASS,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 8409t。実生産 12139t は計画 20609t の58.9%。"
A06:sai-train-standard-003:MASS:T10,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-003,MASS,10,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3791t。実生産 1185t は計画 4987t の23.8%。"
A06:sai-train-standard-003:MASS:T11,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-003,MASS,11,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 1098t。実生産 1025t は計画 2131t の48.1%。"
A06:sai-train-standard-003:MASS:T12,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-003,MASS,12,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 864t。実生産 1179t は計画 2053t の57.4%。"
